id,_date,_open,_high,_low,_close,adj_close,volumen
1,1999-01-22,0.04375,0.048828,0.038802,0.041016,0.037621,2714688000
2,1999-01-25,0.044271,0.045833,0.041016,0.045313,0.041562,510480000
3,1999-01-26,0.045833,0.046745,0.041146,0.041797,0.038337,343200000
4,1999-01-27,0.041927,0.042969,0.039583,0.041667,0.038218,244368000
5,1999-01-28,0.041667,0.041927,0.041276,0.041536,0.038098,227520000
6,1999-01-29,0.041536,0.041667,0.039583,0.039583,0.036307,244032000
7,1999-02-01,0.039583,0.040625,0.039583,0.040365,0.037024,154704000
8,1999-02-02,0.039583,0.040625,0.036068,0.03724,0.034158,264096000
9,1999-02-03,0.036719,0.038542,0.036458,0.038021,0.034874,75120000
10,1999-02-04,0.038542,0.041146,0.038021,0.040104,0.036784,181920000
11,1999-02-05,0.040755,0.041667,0.039714,0.041276,0.037859,136848000
12,1999-02-08,0.041536,0.041667,0.039844,0.039844,0.036546,154080000
13,1999-02-09,0.040625,0.040885,0.03776,0.038281,0.035112,86976000
14,1999-02-10,0.038281,0.039323,0.03724,0.037891,0.034755,148224000
15,1999-02-11,0.038021,0.042708,0.038021,0.041146,0.03774,132240000
16,1999-02-12,0.041667,0.04375,0.041667,0.04349,0.03989,109728000
17,1999-02-16,0.044271,0.046094,0.039323,0.04375,0.040129,211008000
18,1999-02-17,0.042708,0.043229,0.040625,0.041406,0.037979,67728000
19,1999-02-18,0.042708,0.043229,0.040885,0.042057,0.038576,70704000
20,1999-02-19,0.041667,0.044271,0.041146,0.04349,0.03989,75360000
21,1999-02-22,0.044271,0.044792,0.041406,0.04375,0.040129,205248000
22,1999-02-23,0.044792,0.046745,0.042188,0.045833,0.042039,138096000
23,1999-02-24,0.052604,0.054688,0.048307,0.049479,0.045383,612768000
24,1999-02-25,0.051563,0.053125,0.047135,0.047917,0.043951,149136000
25,1999-02-26,0.048438,0.05,0.045313,0.045703,0.04192,172608000
26,1999-03-01,0.046875,0.047917,0.04375,0.045964,0.042159,92160000
27,1999-03-02,0.045833,0.046094,0.044792,0.045573,0.041801,55248000
28,1999-03-03,0.045833,0.045833,0.042188,0.042448,0.038934,61392000
29,1999-03-04,0.044531,0.044792,0.041146,0.041536,0.038098,57360000
30,1999-03-05,0.041927,0.04401,0.041927,0.04388,0.040248,78768000
31,1999-03-08,0.042708,0.045833,0.041927,0.044531,0.040845,75888000
32,1999-03-09,0.044401,0.046615,0.044401,0.045964,0.042159,143184000
33,1999-03-10,0.046615,0.046615,0.044531,0.045182,0.041442,235344000
34,1999-03-11,0.044401,0.045182,0.043229,0.043229,0.039651,54288000
35,1999-03-12,0.04349,0.04349,0.041667,0.042448,0.038934,90768000
36,1999-03-15,0.04349,0.044792,0.043229,0.044271,0.040607,108816000
37,1999-03-16,0.044531,0.045052,0.042448,0.042839,0.039293,79152000
38,1999-03-17,0.043229,0.04401,0.042057,0.043099,0.039532,51360000
39,1999-03-18,0.043229,0.044271,0.042188,0.04362,0.040009,46320000
40,1999-03-19,0.04349,0.045052,0.04349,0.04375,0.040129,105312000
41,1999-03-22,0.044661,0.044792,0.042448,0.042448,0.038934,36672000
42,1999-03-23,0.042708,0.042708,0.039063,0.039844,0.036546,163968000
43,1999-03-24,0.039583,0.039844,0.038021,0.039583,0.036307,60864000
44,1999-03-25,0.039453,0.041667,0.039323,0.040104,0.036784,40320000
45,1999-03-26,0.040625,0.04375,0.040625,0.04362,0.040009,88272000
46,1999-03-29,0.044922,0.045964,0.044141,0.044922,0.041204,65952000
47,1999-03-30,0.045052,0.045443,0.040885,0.041146,0.03774,69504000
48,1999-03-31,0.042448,0.044531,0.040495,0.04401,0.040367,153600000
49,1999-04-01,0.04401,0.044271,0.041927,0.042708,0.039173,30432000
50,1999-04-05,0.042188,0.043229,0.041146,0.041406,0.037979,98640000
51,1999-04-06,0.041797,0.041927,0.039583,0.040365,0.037024,69696000
52,1999-04-07,0.040625,0.04401,0.040365,0.04375,0.040129,89280000
53,1999-04-08,0.04401,0.045833,0.04349,0.044531,0.040845,130128000
54,1999-04-09,0.044792,0.044792,0.04349,0.04375,0.040129,48624000
55,1999-04-12,0.043229,0.043229,0.041146,0.041927,0.038457,33312000
56,1999-04-13,0.042708,0.042708,0.039583,0.040234,0.036904,36144000
57,1999-04-14,0.040104,0.041016,0.039063,0.039063,0.03583,48288000
58,1999-04-15,0.040104,0.040104,0.039063,0.040104,0.036784,35856000
59,1999-04-16,0.039844,0.042057,0.039844,0.041406,0.037979,38928000
60,1999-04-19,0.041927,0.041927,0.039063,0.039583,0.036307,31296000
61,1999-04-20,0.039583,0.041146,0.038411,0.038802,0.03559,67680000
62,1999-04-21,0.038802,0.039583,0.038542,0.039453,0.036187,37488000
63,1999-04-22,0.039583,0.039583,0.03737,0.03776,0.034634,227184000
64,1999-04-23,0.03763,0.03776,0.035677,0.035938,0.032963,126048000
65,1999-04-26,0.035938,0.036458,0.033333,0.034115,0.031291,123504000
66,1999-04-27,0.034896,0.038021,0.034375,0.03776,0.034634,226944000
67,1999-04-28,0.038021,0.038021,0.036328,0.0375,0.034396,120096000
68,1999-04-29,0.03763,0.03776,0.036719,0.0375,0.034396,48144000
69,1999-04-30,0.037891,0.039583,0.03763,0.038021,0.034874,99312000
70,1999-05-03,0.038411,0.038411,0.03724,0.038281,0.035112,33840000
71,1999-05-04,0.038281,0.038281,0.035417,0.036198,0.033202,96048000
72,1999-05-05,0.036458,0.036979,0.034375,0.036979,0.033918,144576000
73,1999-05-06,0.036719,0.0375,0.035156,0.036263,0.033261,35616000
74,1999-05-07,0.035156,0.036719,0.035156,0.036458,0.03344,25008000
75,1999-05-10,0.036198,0.03724,0.036198,0.036458,0.03344,19680000
76,1999-05-11,0.038021,0.039583,0.03724,0.038411,0.035232,171744000
