id,Fecha,Apertura,Mas Alto,Mas Bajo,Cierre,Cierre Ajustado,Volumen,Crecimiento
1,1999-01-22,0.04375,0.048828,0.038802,0.041016,0.037621,2714688000,0.0
2,1999-01-25,0.044271,0.045833,0.041016,0.045313,0.041562,510480000,0.003941
3,1999-01-26,0.045833,0.046745,0.041146,0.041797,0.038337,343200000,-0.0032249999999999987
4,1999-01-27,0.041927,0.042969,0.039583,0.041667,0.038218,244368000,-0.00011900000000000105
5,1999-01-28,0.041667,0.041927,0.041276,0.041536,0.038098,227520000,-0.00012000000000000205
6,1999-01-29,0.041536,0.041667,0.039583,0.039583,0.036307,244032000,-0.001791000000000001
7,1999-02-01,0.039583,0.040625,0.039583,0.040365,0.037024,154704000,0.0007170000000000024
8,1999-02-02,0.039583,0.040625,0.036068,0.03724,0.034158,264096000,-0.0028660000000000005
9,1999-02-03,0.036719,0.038542,0.036458,0.038021,0.034874,75120000,0.0007160000000000014
10,1999-02-04,0.038542,0.041146,0.038021,0.040104,0.036784,181920000,0.001909999999999995
11,1999-02-05,0.040755,0.041667,0.039714,0.041276,0.037859,136848000,0.0010749999999999996
12,1999-02-08,0.041536,0.041667,0.039844,0.039844,0.036546,154080000,-0.0013129999999999947
13,1999-02-09,0.040625,0.040885,0.03776,0.038281,0.035112,86976000,-0.0014340000000000047
14,1999-02-10,0.038281,0.039323,0.03724,0.037891,0.034755,148224000,-0.0003569999999999962
15,1999-02-11,0.038021,0.042708,0.038021,0.041146,0.03774,132240000,0.0029850000000000015
16,1999-02-12,0.041667,0.04375,0.041667,0.04349,0.03989,109728000,0.002149999999999999
17,1999-02-16,0.044271,0.046094,0.039323,0.04375,0.040129,211008000,0.00023899999999999616
18,1999-02-17,0.042708,0.043229,0.040625,0.041406,0.037979,67728000,-0.002149999999999999
19,1999-02-18,0.042708,0.043229,0.040885,0.042057,0.038576,70704000,0.0005970000000000003
20,1999-02-19,0.041667,0.044271,0.041146,0.04349,0.03989,75360000,0.0013140000000000027
21,1999-02-22,0.044271,0.044792,0.041406,0.04375,0.040129,205248000,0.00023899999999999616
22,1999-02-23,0.044792,0.046745,0.042188,0.045833,0.042039,138096000,0.001910000000000002
23,1999-02-24,0.052604,0.054688,0.048307,0.049479,0.045383,612768000,0.0033439999999999998
24,1999-02-25,0.051563,0.053125,0.047135,0.047917,0.043951,149136000,-0.0014320000000000027
25,1999-02-26,0.048438,0.05,0.045313,0.045703,0.04192,172608000,-0.002030999999999998
26,1999-03-01,0.046875,0.047917,0.04375,0.045964,0.042159,92160000,0.0002390000000000031
27,1999-03-02,0.045833,0.046094,0.044792,0.045573,0.041801,55248000,-0.00035800000000000415
28,1999-03-03,0.045833,0.045833,0.042188,0.042448,0.038934,61392000,-0.0028669999999999946
29,1999-03-04,0.044531,0.044792,0.041146,0.041536,0.038098,57360000,-0.0008360000000000034
30,1999-03-05,0.041927,0.04401,0.041927,0.04388,0.040248,78768000,0.002149999999999999
31,1999-03-08,0.042708,0.045833,0.041927,0.044531,0.040845,75888000,0.0005970000000000003
32,1999-03-09,0.044401,0.046615,0.044401,0.045964,0.042159,143184000,0.0013140000000000027
33,1999-03-10,0.046615,0.046615,0.044531,0.045182,0.041442,235344000,-0.0007170000000000024
34,1999-03-11,0.044401,0.045182,0.043229,0.043229,0.039651,54288000,-0.001791000000000001
35,1999-03-12,0.04349,0.04349,0.041667,0.042448,0.038934,90768000,-0.0007169999999999954
36,1999-03-15,0.04349,0.044792,0.043229,0.044271,0.040607,108816000,0.001672999999999994
37,1999-03-16,0.044531,0.045052,0.042448,0.042839,0.039293,79152000,-0.0013139999999999957
38,1999-03-17,0.043229,0.04401,0.042057,0.043099,0.039532,51360000,0.00023899999999999616
39,1999-03-18,0.043229,0.044271,0.042188,0.04362,0.040009,46320000,0.0004770000000000052
40,1999-03-19,0.04349,0.045052,0.04349,0.04375,0.040129,105312000,0.00011999999999999511
41,1999-03-22,0.044661,0.044792,0.042448,0.042448,0.038934,36672000,-0.0011949999999999947
42,1999-03-23,0.042708,0.042708,0.039063,0.039844,0.036546,163968000,-0.0023880000000000012
43,1999-03-24,0.039583,0.039844,0.038021,0.039583,0.036307,60864000,-0.0002390000000000031
44,1999-03-25,0.039453,0.041667,0.039323,0.040104,0.036784,40320000,0.00047699999999999826
45,1999-03-26,0.040625,0.04375,0.040625,0.04362,0.040009,88272000,0.0032250000000000056
46,1999-03-29,0.044922,0.045964,0.044141,0.044922,0.041204,65952000,0.0011949999999999947
47,1999-03-30,0.045052,0.045443,0.040885,0.041146,0.03774,69504000,-0.003463999999999995
48,1999-03-31,0.042448,0.044531,0.040495,0.04401,0.040367,153600000,0.0026269999999999974
49,1999-04-01,0.04401,0.044271,0.041927,0.042708,0.039173,30432000,-0.0011940000000000006
50,1999-04-05,0.042188,0.043229,0.041146,0.041406,0.037979,98640000,-0.0011940000000000006
51,1999-04-06,0.041797,0.041927,0.039583,0.040365,0.037024,69696000,-0.0009549999999999975
52,1999-04-07,0.040625,0.04401,0.040365,0.04375,0.040129,89280000,0.0031049999999999967
53,1999-04-08,0.04401,0.045833,0.04349,0.044531,0.040845,130128000,0.0007160000000000014
54,1999-04-09,0.044792,0.044792,0.04349,0.04375,0.040129,48624000,-0.0007160000000000014
55,1999-04-12,0.043229,0.043229,0.041146,0.041927,0.038457,33312000,-0.0016719999999999999
56,1999-04-13,0.042708,0.042708,0.039583,0.040234,0.036904,36144000,-0.0015529999999999988
57,1999-04-14,0.040104,0.041016,0.039063,0.039063,0.03583,48288000,-0.0010739999999999986
58,1999-04-15,0.040104,0.040104,0.039063,0.040104,0.036784,35856000,0.0009539999999999965
59,1999-04-16,0.039844,0.042057,0.039844,0.041406,0.037979,38928000,0.0011950000000000016
60,1999-04-19,0.041927,0.041927,0.039063,0.039583,0.036307,31296000,-0.0016719999999999999
61,1999-04-20,0.039583,0.041146,0.038411,0.038802,0.03559,67680000,-0.0007170000000000024
62,1999-04-21,0.038802,0.039583,0.038542,0.039453,0.036187,37488000,0.0005970000000000003
63,1999-04-22,0.039583,0.039583,0.03737,0.03776,0.034634,227184000,-0.0015529999999999988
64,1999-04-23,0.03763,0.03776,0.035677,0.035938,0.032963,126048000,-0.0016709999999999989
65,1999-04-26,0.035938,0.036458,0.033333,0.034115,0.031291,123504000,-0.0016719999999999999
66,1999-04-27,0.034896,0.038021,0.034375,0.03776,0.034634,226944000,0.0033429999999999988
67,1999-04-28,0.038021,0.038021,0.036328,0.0375,0.034396,120096000,-0.00023799999999999516
68,1999-04-29,0.03763,0.03776,0.036719,0.0375,0.034396,48144000,0.0
