id,_year,month_of_year,average_price
1,1999,1,0.0383572
2,1999,2,0.0386704
3,1999,3,0.0396405
4,1999,4,0.0365002
5,1999,5,0.0341242
6,1999,6,0.033066
7,1999,7,0.0388519
8,1999,8,0.0441596
9,1999,9,0.0449
10,1999,10,0.0409135
11,1999,11,0.0630366
12,1999,12,0.0775159
13,2000,1,0.0812725
14,2000,2,0.101044
15,2000,3,0.171561
16,2000,4,0.160167
17,2000,5,0.183904
18,2000,6,0.263134
19,2000,7,0.243447
20,2000,8,0.270362
21,2000,9,0.282615
22,2000,10,0.251947
23,2000,11,0.234471
24,2000,12,0.152608
25,2001,1,0.17827
26,2001,2,0.190621
27,2001,3,0.221677
28,2001,4,0.274717
29,2001,5,0.333568
30,2001,6,0.35441
31,2001,7,0.301031
32,2001,8,0.328028
33,2001,9,0.249091
34,2001,10,0.297085
35,2001,11,0.393021
36,2001,12,0.487705
37,2002,1,0.50185
38,2002,2,0.440442
39,2002,3,0.399942
40,2002,4,0.293655
41,2002,5,0.269515
42,2002,6,0.204053
43,2002,7,0.134811
44,2002,8,0.0791282
45,2002,9,0.0726101
46,2002,10,0.0723346
47,2002,11,0.109975
48,2002,12,0.102864
49,2003,1,0.0872091
50,2003,2,0.0871686
51,2003,3,0.101721
52,2003,4,0.104888
53,2003,5,0.152511
54,2003,6,0.18663
55,2003,7,0.170993
56,2003,8,0.136929
57,2003,9,0.14229
58,2003,10,0.130442
59,2003,11,0.154533
60,2003,12,0.162964
61,2004,1,0.18356
62,2004,2,0.175822
63,2004,3,0.172788
64,2004,4,0.184621
65,2004,5,0.165536
66,2004,6,0.159637
67,2004,7,0.123203
68,2004,8,0.0923828
69,2004,9,0.106169
70,2004,10,0.109736
71,2004,11,0.137478
72,2004,12,0.172574
73,2005,1,0.167528
74,2005,2,0.200873
75,2005,3,0.196349
76,2005,4,0.171765
77,2005,5,0.189757
78,2005,6,0.20985
79,2005,7,0.207718
80,2005,8,0.22152
81,2005,9,0.248547
82,2005,10,0.249398
83,2005,11,0.270473
84,2005,12,0.280682
85,2006,1,0.328684
86,2006,2,0.34643
87,2006,3,0.386325
88,2006,4,0.45074
89,2006,5,0.411418
90,2006,6,0.32531
91,2006,7,0.299253
92,2006,8,0.391583
93,2006,9,0.447828
94,2006,10,0.490174
95,2006,11,0.539147
96,2006,12,0.564286
97,2007,1,0.506416
98,2007,2,0.501474
99,2007,3,0.451908
100,2007,4,0.473732
101,2007,5,0.520415
102,2007,6,0.594174
103,2007,7,0.687724
104,2007,8,0.70213
105,2007,9,0.793011
106,2007,10,0.843041
107,2007,11,0.750346
108,2007,12,0.788299
109,2008,1,0.611572
110,2008,2,0.541691
111,2008,3,0.445463
112,2008,4,0.447461
113,2008,5,0.524981
114,2008,6,0.490716
115,2008,7,0.280109
116,2008,8,0.284286
117,2008,9,0.249934
118,2008,10,0.17847
119,2008,11,0.17122
120,2008,12,0.182226
121,2009,1,0.184775
122,2009,2,0.192207
123,2009,3,0.21534
124,2009,4,0.258156
125,2009,5,0.23043
126,2009,6,0.254895
127,2009,7,0.267778
128,2009,8,0.311256
129,2009,9,0.349398
130,2009,10,0.308292
131,2009,11,0.298466
132,2009,12,0.374614
133,2010,1,0.399694
134,2010,2,0.38153
135,2010,3,0.397159
136,2010,4,0.388369
137,2010,5,0.312018
138,2010,6,0.266267
139,2010,7,0.237201
140,2010,8,0.217299
141,2010,9,0.247968
142,2010,10,0.260525
143,2010,11,0.298437
144,2010,12,0.337998
145,2011,1,0.498203
146,2011,2,0.546679
147,2011,3,0.433001
148,2011,4,0.419895
149,2011,5,0.431839
150,2011,6,0.385246
151,2011,7,0.33676
152,2011,8,0.299624
153,2011,9,0.322132
154,2011,10,0.333608
155,2011,11,0.334831
156,2011,12,0.328793
157,2012,1,0.330419
158,2012,2,0.362821
159,2012,3,0.339218
160,2012,4,0.319424
161,2012,5,0.288447
162,2012,6,0.288162
163,2012,7,0.299584
164,2012,8,0.328437
165,2012,9,0.309479
166,2012,10,0.291558
167,2012,11,0.27831
168,2012,12,0.28404
169,2013,1,0.285263
170,2013,2,0.287451
171,2013,3,0.293782
172,2013,4,0.297693
173,2013,5,0.333571
174,2013,6,0.334062
175,2013,7,0.33469
176,2013,8,0.346099
177,2013,9,0.364187
178,2013,10,0.362566
179,2013,11,0.363447
180,2013,12,0.366646
181,2014,1,0.373069
182,2014,2,0.40876
183,2014,3,0.431653
184,2014,4,0.440802
185,2014,5,0.43756
186,2014,6,0.452284
187,2014,7,0.441926
188,2014,8,0.447883
189,2014,9,0.45869
190,2014,10,0.431358
191,2014,11,0.482162
192,2014,12,0.490256
193,2015,1,0.476401
194,2015,2,0.515172
195,2015,3,0.540174
196,2015,4,0.533239
197,2015,5,0.518743
198,2015,6,0.51961
199,2015,7,0.480128
200,2015,8,0.538989
201,2015,9,0.557282
202,2015,10,0.657936
203,2015,11,0.740308
204,2015,12,0.804224
205,2016,1,0.713442
206,2016,2,0.698517
207,2016,3,0.816093
208,2016,4,0.888007
209,2016,5,0.991321
210,2016,6,1.14869
211,2016,7,1.29564
212,2016,8,1.48513
213,2016,9,1.56375
214,2016,10,1.67668
215,2016,11,2.04268
216,2016,12,2.45475
217,2017,1,2.6006
218,2017,2,2.72276
219,2017,3,2.5618
220,2017,4,2.49512
221,2017,5,3.09074
222,2017,6,3.73439
223,2017,7,3.93707
224,2017,8,4.08427
225,2017,9,4.30632
226,2017,10,4.76051
227,2017,11,5.20074
228,2017,12,4.77607
229,2018,1,5.62786
230,2018,2,5.8556
231,2018,3,5.96078
232,2018,4,5.59241
233,2018,5,6.09921
234,2018,6,6.35128
235,2018,7,6.15813
236,2018,8,6.45969
237,2018,9,6.73736
238,2018,10,5.94736
239,2018,11,4.49024
240,2018,12,3.56314
241,2019,1,3.59623
242,2019,2,3.79948
243,2019,3,4.15436
244,2019,4,4.64636
245,2019,5,3.97181
246,2019,6,3.72024
247,2019,7,4.17545
248,2019,8,3.98693
249,2019,9,4.41043
250,2019,10,4.74401
251,2019,11,5.24098
252,2019,12,5.59371
253,2020,1,6.09571
254,2020,2,6.74649
255,2020,3,6.06796
256,2020,4,6.9012
257,2020,5,8.15578
258,2020,6,9.08813
259,2020,7,10.1962
260,2020,8,11.9395
261,2020,9,12.7388
262,2020,10,13.5235
263,2020,11,13.3432
264,2020,12,13.1929
265,2021,1,13.2563
266,2021,2,14.2433
267,2021,3,12.8488
268,2021,4,14.9798
269,2021,5,14.6583
270,2021,6,18.1847
271,2021,7,19.6109
272,2021,8,20.675
273,2021,9,21.9009
274,2021,10,22.0744
275,2021,11,30.339
276,2021,12,29.8856
277,2022,1,25.7314
278,2022,2,24.5919
279,2022,3,24.8183
280,2022,4,21.9314
281,2022,5,17.7668
282,2022,6,16.9958
283,2022,7,16.312
284,2022,8,17.7423
285,2022,9,13.1629
286,2022,10,12.4595
287,2022,11,15.3011
288,2022,12,16.2031
289,2023,1,17.2634
290,2023,2,22.03
291,2023,3,25.0966
292,2023,4,27.1384
293,2023,5,31.0442
294,2023,6,40.9088
295,2023,7,44.7492
296,2023,8,45.2404
297,2023,9,44.3143
298,2023,10,43.6257
299,2023,11,47.5212
300,2023,12,48.0639
301,2024,1,56.2519
302,2024,2,72.5411
303,2024,3,89.4348
304,2024,4,85.6969
305,2024,5,96.2123
306,2024,6,124.305
